bench\framework,numba_mlir,numba,numba_replace_parfor,numpy
polybench.linear_algebra.solvers.cholesky["paper"],8.68±0.02s,failed,8.82±0s,2.88±0.01s
polybench.linear_algebra.solvers.cholesky2["S"],1.12±0.01ms,failed,failed,failed
polybench.linear_algebra.solvers.cholesky2["M"],33.3±0.1ms,failed,failed,failed
polybench.linear_algebra.solvers.cholesky2["paper"],25.3±0.1ms,failed,failed,failed
polybench.linear_algebra.solvers.durbin["S"],12.7±0.04ms,127±1ms,failed,4.56±0.02ms
polybench.linear_algebra.solvers.durbin["M"],102±0.04ms,746±4ms,failed,50.2±0.3ms
polybench.linear_algebra.solvers.durbin["paper"],389±2ms,1.95±0.01s,failed,279±0.7ms
polybench.linear_algebra.solvers.gramschmidt["S"],14.0±0.09ms,230±0.4ms,14.9±0.07ms,4.51±0.01ms
polybench.linear_algebra.solvers.gramschmidt["M"],160±0.6ms,2.04±0s,169±0.4ms,50.3±0.2ms
polybench.linear_algebra.solvers.gramschmidt["paper"],178±0.6ms,2.52±0.01s,190±0.6ms,63.0±0.2ms
polybench.linear_algebra.solvers.lu["S"],7.36±0.2ms,failed,failed,4.74±0.01ms
polybench.linear_algebra.solvers.lu["M"],175±0.4ms,failed,failed,64.2±0.07ms
polybench.linear_algebra.solvers.lu["paper"],failed,2.31±0.01s,2.31±0.02s,6.95±0.01s
polybench.linear_algebra.solvers.ludcmp["S"],7.33±0.09ms,failed,failed,4.90±0.01ms
polybench.linear_algebra.solvers.ludcmp["M"],169±0.3ms,failed,failed,64.7±0.1ms
polybench.linear_algebra.solvers.ludcmp["paper"],failed,2.32±0s,2.32±0s,6.93±0s
polybench.linear_algebra.solvers.trisolv["S"],9.08±0.06ms,406±4μs,402±4μs,3.01±0.01ms
polybench.linear_algebra.solvers.trisolv["M"],28.3±0.1ms,5.71±0.02ms,5.71±0.02ms,12.4±0.02ms
polybench.linear_algebra.solvers.trisolv["paper"],128±0.7ms,56.3±0.1ms,56.2±0.09ms,79.5±0.07ms
polybench.medley.deriche["S"],9.42±0.01ms,74.8±1ms,5.18±0.02ms,6.30±0.02ms
polybench.medley.deriche["M"],54.3±0.2ms,294±2ms,35.1±0.1ms,53.0±0.05ms
polybench.medley.deriche["paper"],783±0.6ms,725±0.6ms,660±0.6ms,1.68±0s
polybench.medley.floyd_warshall["S"],1.69±0ms,3.54±0.02ms,1.76±0ms,3.73±0.02ms
polybench.medley.floyd_warshall["M"],6.03±0.03ms,11.3±0.04ms,5.74±0.06ms,41.9±0.3ms
polybench.medley.floyd_warshall["paper"],1.96±0.2s,2.79±0.01s,1.99±0.04s,failed
polybench.medley.nussinov["S"],30.1±0.04μs,33.1±0.09μs,31.4±0.03μs,5.46±0.02ms
polybench.medley.nussinov["M"],177±0.2μs,184±0.1μs,190±0.2μs,49.7±0.09ms
polybench.medley.nussinov["paper"],19.8±0.01ms,23.1±0.03ms,23.2±0.02ms,7.19±0s
polybench.stencils.adi["S"],51.2±0.2ms,374±1ms,22.5±0.03ms,9.81±0.01ms
polybench.stencils.adi["M"],450±3ms,2.99±0.01s,196±0.4ms,91.2±0.2ms
polybench.stencils.adi["paper"],2.24±0s,failed,978±2ms,455±0.4ms
polybench.stencils.fdtd_2d["S"],28.6±0.2ms,5.08±0.01ms,3.23±0.01ms,4.71±0.01ms
polybench.stencils.fdtd_2d["M"],331±2ms,32.5±0.7ms,23.4±0.6ms,76.0±0.03ms
polybench.stencils.fdtd_2d["paper"],failed,1.07±0.01s,702±6ms,6.81±0.02s
polybench.stencils.heat_3d["S"],12.9±0.09ms,2.18±0.01ms,2.22±0.02ms,5.05±0.03ms
polybench.stencils.heat_3d["M"],94.4±30ms,7.95±0.02ms,9.30±0.05ms,51.4±0.3ms
polybench.stencils.heat_3d["paper"],failed,2.40±0.01s,3.20±0.01s,failed
polybench.stencils.jacobi_1d["S"],29.1±0.03ms,151±2ms,13.1±0.05ms,6.66±0.01ms
polybench.stencils.jacobi_1d["M"],201±0.3ms,336±200ms,86.1±0.04ms,60.0±0.04ms
polybench.stencils.jacobi_1d["paper"],475±0.3ms,213±0.4ms,177±0.09ms,194±2ms
polybench.stencils.jacobi_2d["S"],12.3±0.02ms,3.94±0.01ms,3.98±0.06ms,4.55±0.1ms
polybench.stencils.jacobi_2d["M"],165±0.2ms,13.8±0.09ms,18.9±0.06ms,66.7±2ms
polybench.stencils.jacobi_2d["paper"],failed,failed,failed,failed
polybench.stencils.seidel_2d["S"],12.1±0.04ms,43.1±0.7ms,2.89±0.02ms,6.79±0.2ms
polybench.stencils.seidel_2d["M"],43.5±0.07ms,175±1ms,10.4±0.07ms,50.7±0.6ms
polybench.stencils.seidel_2d["paper"],1.53±0s,failed,373±1ms,5.58±0.03s
